23/05/2006 | 22:04:29 | frmPawningOut\cmdPawnOut_Click | Automation error
The server threw an exception. (-2147417851)
23/05/2006 | 22:05:14 | frmPawningOut\cmdPawnOut_Click | The remote server machine does not exist or is unavailable(462)
23/05/2006 | 22:08:32 | frmPawningOut\cmdPawnOut_Click | Automation error
The remote procedure call failed. (-2147023170)
04/06/2006 | 19:38:38 | frmPawningOut\cmdPawnOut_Click | The requested member of the collection does not exist.(5941)
04/06/2006 | 19:43:21 | frmPawningOut\cmdPawnOut_Click | Cannot access individual rows in this collection because the table has vertically merged cells.(5991)
04/06/2006 | 19:45:12 | frmPawningOut\cmdPawnOut_Click | Cannot access individual rows in this collection because the table has vertically merged cells.(5991)
10/06/2006 | 21:12:50 | frmStockSale\cmdTransact_Click | No value given for one or more required parameters.(-2147217904)
29/12/2009 | 19:17:25 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:26 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:26 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:27 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:27 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:27 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:27 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:28 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:28 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:28 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:28 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:29 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:29 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:29 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:29 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:30 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:31 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:32 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:32 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
29/12/2009 | 19:17:35 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Overflow(6)
25/06/2013 | 17:43:08 | frmPawningOut\cmdPawnOut_Click | Command failed(4198)
25/06/2013 | 17:44:33 | frmPawningOut\cmdPawnOut_Click | (0)
25/06/2013 | 17:45:30 | frmPawningOut\cmdPawnOut_Click | Word cannot save this file because it is already open elsewhere. (D:\werk\...\templates\NewAgreement_2.doc)(5356)
11/05/2015 | 18:32:49 | frmPawningOut\cmdPawnOut_Click | Command failed(4198)
04/04/2016 | 13:33:11 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Operation was canceled.(-2147217842)
04/04/2016 | 13:33:13 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:15 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:15 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:16 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:16 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:16 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:17 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:17 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:17 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:17 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:18 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:18 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:18 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:18 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:18 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:19 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:19 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:19 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:19 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:19 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:19 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:20 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:20 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:20 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:20 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:21 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:21 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:21 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:21 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:21 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:22 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:22 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:22 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:22 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:22 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:23 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:23 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:23 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:23 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:23 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:24 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:24 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:24 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
04/04/2016 | 13:33:24 | frmExpiredPawnTransactions\cmdReportAndMove_Click | Row cannot be located for updating. Some values may have been changed since it was last read.(-2147217864)
